Distance,Cars,Year
4.26,7606,2022
6.72,52,2008
8.51,1239,2019
9.1,1227,2022
12.24,719,2022
12.98,231,2019
22.19,6403,2022
25.85,10903,2022
28.51,10684,2022
29.72,2812,2009
30.02,15488,2022
30.69,3134,2019
31.28,16276,2022
42.76,559,2019
47.79,1198,2022
52.07,5626,2022
61.06,7033,2009
61.56,9708,2008
62.76,12915,2019
64.9,60351,2022
65.35,54120,2022
71.08,177,2019
74.59,1045,2019
75.83,1020,2009
78.14,11295,2022
85.63,7189,2022
90.86,7267,2019
94.07,12353,2022
97.54,31646,2022
102.96,6143,2019
104.55,5796,2022
105.19,6228,2022
110.12,6418,2022
115.36,2494,2022
127.07,7513,2022
129.09,12204,2022
132.14,42256,2022
141.46,67314,2022
146.05,4771,2008
146.37,8609,2019
147.77,226,2008
150.09,6783,2008
151.65,6840,2009
157.06,14719,2022
166.46,152,2019
169.18,15145,2022
173.86,9062,2022
175.97,4165,2009
179.66,654,2009
181.99,2919,2009
184.69,16196,2022
191.12,7903,2022
195.9,2511,2009
204.06,11741,2022
